epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1066,1.48981,1.26367,1.17676,0.47089,0.37056,0.41214,0.24186,1.38147,1.34001,1.13003,0.0700857,0.00332381,0.00332381
2,84.9248,1.38475,1.04985,1.11061,0.7428,0.46253,0.48651,0.31163,1.36098,1.27614,1.10893,0.0400198,0.00659124,0.00659124
3,124.966,1.42976,1.02143,1.12934,0.88687,0.40029,0.44372,0.30711,1.3485,0.93273,1.08489,0.0098879,0.00979266,0.00979266
4,165.205,1.32907,0.94549,1.09159,0.89247,0.3907,0.52723,0.33821,1.2572,0.92221,1.05382,0.009703,0.009703,0.009703
5,205.302,1.25413,0.8867,1.05154,0.71782,0.5597,0.61428,0.42542,1.23973,0.84373,1.05606,0.009604,0.009604,0.009604
6,246.154,1.26538,0.87953,1.05914,0.66792,0.63682,0.64548,0.46602,1.16267,0.82488,1.01881,0.009505,0.009505,0.009505
7,287.611,1.18381,0.82955,1.02952,0.62002,0.58348,0.60431,0.42625,1.19138,0.91375,1.05349,0.009406,0.009406,0.009406
8,330.316,1.183,0.82246,1.02289,0.67726,0.62477,0.64646,0.47391,1.0678,0.73083,0.9926,0.009307,0.009307,0.009307
9,371.295,1.12258,0.79579,1.01481,0.70323,0.62874,0.68724,0.50498,1.03845,0.74379,0.97845,0.009208,0.009208,0.009208
10,411.311,1.09641,0.74468,1.00391,0.58745,0.66163,0.64589,0.48456,0.99743,0.68492,0.97713,0.009109,0.009109,0.009109
11,451.054,1.11584,0.76035,1.00769,0.59149,0.63302,0.6487,0.48186,1.05386,0.79111,0.9908,0.00901,0.00901,0.00901
12,490.727,1.09311,0.73866,1.00501,0.57802,0.65458,0.66788,0.4982,1.04859,0.72077,0.98097,0.008911,0.008911,0.008911
13,530.064,1.12946,0.7498,1.00294,0.73764,0.62773,0.70233,0.51623,1.01846,0.70032,0.97301,0.008812,0.008812,0.008812
14,569.953,1.08804,0.74053,0.99123,0.63976,0.59627,0.64799,0.48955,1.02778,0.70987,0.97102,0.008713,0.008713,0.008713
15,609.944,1.06161,0.72055,0.98563,0.62681,0.70724,0.66329,0.50089,1.00098,0.68133,0.96792,0.008614,0.008614,0.008614
16,652.417,1.06402,0.71192,0.9853,0.74923,0.65132,0.71983,0.537,0.97045,0.65336,0.95976,0.008515,0.008515,0.008515
17,695.46,1.03307,0.69277,0.9788,0.75136,0.7125,0.72756,0.5429,0.97493,0.67558,0.95856,0.008416,0.008416,0.008416
18,738.218,1.03575,0.69265,0.98385,0.70422,0.68551,0.68818,0.5214,1.02549,0.71386,0.98537,0.008317,0.008317,0.008317
19,778.469,1.04608,0.71043,0.97968,0.64885,0.68843,0.71737,0.54315,0.9883,0.6722,0.96213,0.008218,0.008218,0.008218
20,818.464,1.0443,0.69329,0.97149,0.7647,0.71308,0.7435,0.55393,0.96883,0.64966,0.95483,0.008119,0.008119,0.008119
21,858.621,1.0277,0.70394,0.97637,0.77665,0.61354,0.71801,0.53488,0.99534,0.66579,0.96364,0.00802,0.00802,0.00802
22,898.772,1.00847,0.66957,0.96513,0.76253,0.61939,0.71266,0.55224,0.94782,0.64704,0.94931,0.007921,0.007921,0.007921
23,938.708,1.00824,0.67255,0.96846,0.70035,0.65305,0.69985,0.53383,0.95471,0.65303,0.94929,0.007822,0.007822,0.007822
24,978.088,1.00706,0.67093,0.96956,0.71007,0.64048,0.69763,0.53071,0.95965,0.67479,0.9456,0.007723,0.007723,0.007723
25,1021.14,0.99902,0.67158,0.95591,0.74516,0.66472,0.74038,0.56702,0.92502,0.6321,0.94041,0.007624,0.007624,0.007624
26,1064.02,0.99789,0.67427,0.96058,0.76637,0.66108,0.74128,0.56,0.93887,0.63623,0.946,0.007525,0.007525,0.007525
27,1106.69,0.97049,0.65654,0.96134,0.79446,0.68085,0.77567,0.6053,0.916,0.61908,0.93721,0.007426,0.007426,0.007426
